"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.21, 2021"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A1101","","F1101","","F1102",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","Annotation","F1101_(Population census) Population in labour force[person]","Annotation","F1102_(Population census) Number of employed persons[person]","Annotation"
"2015100000","2015","01394","Hokkaido Rankoshi-cho","","4,843","","2,480","","2,388",""
"2015100000","2015","01395","Hokkaido Niseko-cho","","4,958","","2,658","","2,523",""
"2015100000","2015","01396","Hokkaido Makkari-mura","","2,103","","1,163","","1,144",""
"2015100000","2015","01397","Hokkaido Rusutsu-mura","","1,907","","1,230","","1,213",""
"2015100000","2015","01398","Hokkaido Kimobetsu-cho","","2,294","","1,237","","1,202",""
"2015100000","2015","01399","Hokkaido Kyogoku-cho","","3,187","","1,609","","1,546",""
"2015100000","2015","01400","Hokkaido Kutchan-cho","","15,018","","8,065","","7,820",""
"2015100000","2015","01401","Hokkaido Kyowa-cho","","6,224","","3,571","","3,496",""
"2015100000","2015","01402","Hokkaido Iwanai-cho","","13,042","","6,589","","6,281",""
"2015100000","2015","01403","Hokkaido Tomari-mura","","1,771","","911","","887",""
"2015100000","2015","01404","Hokkaido Kamoenai-mura","","1,004","","485","","472",""
"2015100000","2015","01405","Hokkaido Shakotan-cho","","2,115","","1,088","","1,043",""
"2015100000","2015","01406","Hokkaido Furubira-cho","","3,188","","1,630","","1,574",""
"2015100000","2015","01407","Hokkaido Niki-cho","","3,498","","1,902","","1,873",""
"2015100000","2015","01408","Hokkaido Yoichi-cho","","19,607","","9,486","","8,938",""
"2015100000","2015","01409","Hokkaido Akaigawa-mura","","1,121","","656","","642",""
"2015100000","2015","01423","Hokkaido Nanporo-cho","","7,927","","4,161","","3,983",""
"2015100000","2015","01424","Hokkaido Naie-cho","","5,674","","2,681","","2,584",""
"2015100000","2015","01425","Hokkaido Kamisunagawa-cho","","3,479","","1,335","","1,157",""
"2015100000","2015","01427","Hokkaido Yuni-cho","","5,314","","2,834","","2,760",""
"2015100000","2015","01428","Hokkaido Naganuma-cho","","11,076","","6,035","","5,851",""
"2015100000","2015","01429","Hokkaido Kuriyama-cho","","12,344","","6,063","","5,847",""
"2015100000","2015","01430","Hokkaido Tsukigata-cho","","4,577","","1,752","","1,710",""
"2015100000","2015","01431","Hokkaido Urausu-cho","","1,985","","1,046","","1,023",""
"2015100000","2015","01432","Hokkaido Shintotsukawa-cho","","6,831","","3,323","","3,219",""
"2015100000","2015","01433","Hokkaido Moseushi-cho","","3,091","","1,508","","1,470",""
"2015100000","2015","01434","Hokkaido Chippubetsu-cho","","2,513","","1,204","","1,175",""
"2015100000","2015","01436","Hokkaido Uryu-cho","","2,749","","1,290","","1,273",""
"2015100000","2015","01437","Hokkaido Hokuryu-cho","","1,981","","1,023","","995",""
"2015100000","2015","01438","Hokkaido Numata-cho","","3,181","","1,670","","1,634",""
"2015100000","2015","01452","Hokkaido Takasu-cho","","7,018","","3,473","","3,347",""
"2015100000","2015","01453","Hokkaido Higashikagura-cho","","10,233","","5,154","","4,999",""
"2015100000","2015","01454","Hokkaido Tohma-cho","","6,689","","3,422","","3,299",""
"2015100000","2015","01455","Hokkaido Pippu-cho","","3,777","","1,995","","1,937",""
"2015100000","2015","01456","Hokkaido Aibetsu-cho","","2,976","","1,472","","1,428",""
"2015100000","2015","01457","Hokkaido Kamikawa-cho","","4,044","","2,120","","2,077",""
"2015100000","2015","01458","Hokkaido Higashikawa-cho","","8,111","","4,039","","3,923",""
"2015100000","2015","01459","Hokkaido Biei-cho","","10,292","","5,369","","5,206",""
"2015100000","2015","01460","Hokkaido Kamifurano-cho","","10,826","","5,807","","5,661",""
"2015100000","2015","01461","Hokkaido Nakafurano-cho","","5,069","","2,606","","2,520",""
"2015100000","2015","01462","Hokkaido Minamifurano-cho","","2,555","","1,290","","1,271",""
"2015100000","2015","01463","Hokkaido Shimukappu-mura","","1,211","","752","","743",""
"2015100000","2015","01464","Hokkaido Wassamu-cho","","3,596","","1,826","","1,789",""
"2015100000","2015","01465","Hokkaido Kembuchi-cho","","3,228","","1,834","","1,808",""
"2015100000","2015","01468","Hokkaido Shimokawa-cho","","3,547","","1,788","","1,749",""
"2015100000","2015","01469","Hokkaido Bifuka-cho","","4,659","","2,355","","2,295",""
"2015100000","2015","01470","Hokkaido Otoineppu-mura","","832","","435","","424",""
"2015100000","2015","01471","Hokkaido Nakagawa-cho","","1,767","","1,008","","989",""
"2015100000","2015","01472","Hokkaido Horokanai-cho","","1,525","","799","","794",""
"2015100000","2015","01481","Hokkaido Mashike-cho","","4,497","","2,255","","2,171",""
"2015100000","2015","01482","Hokkaido Obira-cho","","3,336","","1,706","","1,670",""
"2015100000","2015","01483","Hokkaido Tomamae-cho","","3,265","","1,666","","1,643",""
"2015100000","2015","01484","Hokkaido Haboro-cho","","7,327","","3,647","","3,579",""
"2015100000","2015","01485","Hokkaido Shosambetsu-mura","","1,217","","639","","634",""
"2015100000","2015","01486","Hokkaido Embetsu-cho","","2,806","","1,487","","1,456",""
"2015100000","2015","01487","Hokkaido Teshio-cho","","3,243","","1,810","","1,784",""
"2015100000","2015","01511","Hokkaido Sarufutsu-mura","","2,684","","1,587","","1,568",""
"2015100000","2015","01512","Hokkaido Hamatombetsu-cho","","3,881","","2,122","","2,075",""
"2015100000","2015","01513","Hokkaido Nakatombetsu-cho","","1,757","","904","","890",""
"2015100000","2015","01514","Hokkaido Esashi-cho","","8,437","","4,649","","4,565",""
"2015100000","2015","01516","Hokkaido Toyotomi-cho","","4,054","","2,231","","2,188",""
"2015100000","2015","01517","Hokkaido Rebun-cho","","2,773","","1,838","","1,798",""
"2015100000","2015","01518","Hokkaido Rishiri-cho","","2,303","","1,435","","1,407",""
"2015100000","2015","01519","Hokkaido Rishirifuji-cho","","2,787","","1,645","","1,619",""
"2015100000","2015","01520","Hokkaido Horonobe-cho","","2,447","","1,417","","1,391",""
"2015100000","2015","01543","Hokkaido Bihoro-cho","","20,296","","10,274","","9,942",""
"2015100000","2015","01544","Hokkaido Tsubetsu-cho","","5,008","","2,421","","2,325",""
"2015100000","2015","01545","Hokkaido Shari-cho","","12,231","","6,761","","6,579",""
"2015100000","2015","01546","Hokkaido Kiyosato-cho","","4,221","","2,156","","2,112",""
"2015100000","2015","01547","Hokkaido Koshimizu-cho","","5,085","","2,777","","2,724",""
"2015100000","2015","01549","Hokkaido Kunneppu-cho","","5,100","","2,728","","2,681",""
"2015100000","2015","01550","Hokkaido Oketo-cho","","3,092","","1,514","","1,487",""
"2015100000","2015","01552","Hokkaido Saroma-cho","","5,362","","2,824","","2,767",""
"2015100000","2015","01555","Hokkaido Engaru-cho","","20,873","","9,974","","9,676",""
"2015100000","2015","01559","Hokkaido Yubetsu-cho","","9,231","","4,912","","4,775",""
"2015100000","2015","01560","Hokkaido Takinoue-cho","","2,721","","1,289","","1,273",""
"2015100000","2015","01561","Hokkaido Okoppe-cho","","3,909","","2,121","","2,088",""
"2015100000","2015","01562","Hokkaido Nishiokoppe-mura","","1,116","","559","","551",""
"2015100000","2015","01563","Hokkaido Omu-cho","","4,525","","2,583","","2,524",""
"2015100000","2015","01564","Hokkaido Ozora-cho","","7,360","","3,903","","3,824",""
"2015100000","2015","01571","Hokkaido Toyoura-cho","","4,291","","2,157","","2,060",""
"2015100000","2015","01575","Hokkaido Sobetsu-cho","","2,922","","1,435","","1,390",""
"2015100000","2015","01578","Hokkaido Shiraoi-cho","","17,740","","7,588","","7,037",""
"2015100000","2015","01581","Hokkaido Atsuma-cho","","4,838","","2,827","","2,787",""
"2015100000","2015","01584","Hokkaido Toyako-cho","","9,299","","4,529","","4,337",""
"2015100000","2015","01585","Hokkaido Abira-cho","","8,148","","4,137","","4,006",""
"2015100000","2015","01586","Hokkaido Mukawa-cho","","8,596","","4,634","","4,485",""
"2015100000","2015","01601","Hokkaido Hidaka-cho","","12,378","","6,776","","6,591",""
"2015100000","2015","01602","Hokkaido Biratori-cho","","5,315","","2,931","","2,842",""
"2015100000","2015","01604","Hokkaido Niikappu-cho","","5,592","","3,005","","2,934",""
"2015100000","2015","01607","Hokkaido Urakawa-cho","","13,075","","7,024","","6,739",""
"2015100000","2015","01608","Hokkaido Samani-cho","","4,518","","2,408","","2,325",""
"2015100000","2015","01609","Hokkaido Erimo-cho","","4,906","","2,897","","2,839",""
"2015100000","2015","01610","Hokkaido Shinhidaka-cho","","23,231","","11,780","","11,258",""
"2015100000","2015","01631","Hokkaido Otofuke-cho","","44,807","","22,157","","21,432",""
"2015100000","2015","01632","Hokkaido Shihoro-cho","","6,132","","3,434","","3,341",""
"2015100000","2015","01633","Hokkaido Kamishihoro-cho","","4,765","","2,535","","2,478",""
"2015100000","2015","01634","Hokkaido Shikaoi-cho","","5,542","","3,072","","3,013",""
"2015100000","2015","01635","Hokkaido Shintoku-cho","","6,288","","3,375","","3,298",""
"2015100000","2015","01636","Hokkaido Shimizu-cho","","9,599","","4,936","","4,752",""
"2015100000","2015","01637","Hokkaido Memuro-cho","","18,484","","9,728","","9,475",""
"2015100000","2015","01638","Hokkaido Nakasatsunai-mura","","3,966","","2,152","","2,109",""
"2015100000","2015","01639","Hokkaido Sarabetsu-mura","","3,185","","1,879","","1,843",""
"2015100000","2015","01641","Hokkaido Taiki-cho","","5,738","","3,152","","3,106",""
